name,team,position,week,outlook
Jayden Daniels,Commanders,QB,6,"Jayden Daniels continues to shine as a rookie for the Commanders. Daniels threw for 238 yards and rushed for 82 more yards in Sunday's win over the Browns. Daniels has four touchdown passes in his last three contests. Daniels has passed for at least 225 yards in four-straight outings. In Week 6, he will face a Ravens defense that has been destroyed through the air. Baltimore is allowing an average of 280.2 passing yards per tilt, which is 31st in the NFL. In addition, the Ravens have allowed nine throwing scores, which is tied for 25th in the NFL. Last game, the Ravens surrendered 392 passing yards and five touchdowns through the air to Cincy quarterback Joe Burrow."
Lamar Jackson,Ravens,QB,6,"Lamar Jackson showed off his playmaking ability throughout Baltimore's Week 5 shootout win over the Bengals, as he he topped 400 total yards and delivered four total touchdowns. The game script could be similar in a Week 6 matchup against the Commanders, who have allowed multiple touchdowns to three of the five starting quarterbacks they've faced this season. Even if Jackson is slowed through the air, he has at least 50 rushing yards in all but one matchup this season. Start him confidently as an elite option at quarterback."
Kirk Cousins,Falcons,QB,6,Kirk Cousins is coming off a franchise-record 509 passing yards and faces a Panthers defense in Week 6 that allows the seventh-most fantasy points per game to quarterbacks. But Cousins attempted 58 passes in Atlanta's Week 5 overtime win against the Buccaneers and likely won't get that kind of volume against the Panthers -- opponents average 34 attempts vs. Carolina -- and his four TD passes equaled his total from his first four games. He also threw his fifth interception of the season. Cousins is more likely to have a typically modest day against Carolina rather than lighting up the scoreboard again.
Jalen Hurts,Eagles,QB,6,"Jalen Hurts has struggled through Philadelphia's first four games, throwing as many touchdowns as interceptions (4). Of course, Hurts has been without his top two wideouts for some of that time period, as both A.J. Brown and DeVonta Smith have been nursing injuries. It remains to be seen if either or both of those playmakers will be activated following the bye for the Eagles, and Hurts will face a fairly stingy Browns pass defense in Week 6. Cleveland is allowing just 184.4 passing yards per outing, which is eighth in the league."
Justin Fields,Steelers,QB,6,"Justin Fields had both positives and negatives to take away from Pittsburgh's Week 5 loss to the Cowboys, as he attempted only 27 passes while averaging just 4.9 yards per attempt. On the other hand, he tallied multiple touchdowns for the third straight week after combining to record just one score across the first two games of the season. That's a reasonable encapsulation of the Steelers' offense, a unit that prefers to be conservative and is often inefficient yet sometimes Fields' playmaking ability shines through. Heading into a Week 6 matchup against the Raiders, there is a risk that those factors hold back Fields' performance, but he has produced enough to be considered a low-end starter and a premier streaming option in most formats."
Brock Purdy,49ers,QB,6,"Brock Purdy completed 19 of his 35 passing attempts for 244 yards, one touchdown, and two interceptions against the Cardinals last weekend. Purdy and the 49ers will look to bounce back after this disappointing performance in a Week 6 road trip to Seattle. So far this season, Purdy has thrown for 275 yards per game, 5th most in the league. He continues to be efficient with his attempts, as well, and his 8.8 yards per passing attempt is best in the league. The Seahawks have a solid passing defense, allowing 183 yards per game in 2024, seventh overall in the league."
Joe Burrow,Bengals,QB,6,"Joe Burrow delivered an electric five-touchdown performance in Cincinnati's Week 5 loss to the Ravens, also turning in his second 300-yard passing effort of the season. With both Ja'Marr Chase and Tee Higgins back at full strength, Burrow has led a potent offense by completing at least three passes of 20 yards in each of his last three games. Burrow now heads into a Week 6 matchup against a Giants' defense that has surprisingly been a mediocre unit, entrenching Burrow as a no-brainer fantasy option."
Dak Prescott,Cowboys,QB,6,"Dak Prescott has thrown for at least 350 yards and two touchdowns in two of the last three games for the Cowboys. Dak has six touchdown passes overall during that span. He will look to continue this hot streak in Week 6 versus a Lions defense that has been surprisingly suspect against the pass so far in 2024. Detroit is allowing 258.3 passing yards per tilt this season, which is 27th in the league. However, Detroit has only allowed four passing touchdowns through four contests, which is tied for seventh in the NFL."
Daniel Jones,Giants,QB,6,"Daniel Jones was missing his top two weapons on offense this past Sunday, but still managed to pick apart an excellent defense en route to a win for the New York Giants. Jones threw for 257 yards and two touchdowns against a Seattle defense that had allowed just four passing touchdowns through the first four games of the season prior to this contest. Jones was missing rookie sensation Malik Nabers as well as top running back Devin Singletary, but still managed to toss multiple touchdown passes for the third time in four games. In Week 6, Jones will face a Bengals defense that has yielded 10 passing touchdowns already in 2024, which is tied for 28th in the NFL."
Josh Allen,Bills,QB,6,"Josh Allen hasn't provided QB1 numbers through the first five weeks, and he'll be challenged in Week 6 by a tough Jets pass defense. Allen completed just 9-of-30 passes in Week 5, finishing his third game with 180 yards or fewer while delivering no more than one scoring strike. Week 6 brings a date with the Jets defense allowing just two touchdown passes this year, and only 161.2 passing yards per game. Allen remains a fixture in fantasy lineups but temper expectations for the Bills signal caller."
